business_type,target_demographic,target_location,campaign_budget_lkr,campaign_goal,listing_type,placement_name,channel_type,district,base_cost_lkr,primary_audience,estimated_reach,historical_ctr,historical_roi,historical_conversion_rate,previous_bookings,budget_gap_lkr,audience_match_score,location_match_score,channel_match_score,reach_to_cost_ratio,match_score
Telecommunications,Families,Kollupitiya,59192,App Downloads,Retail & Premises Signage,End Cap Display,Visual,Colombo,89810,Families,29667,0.0215,0.83,0.0516,40,-30618,0.9374,0.7829,0.8181,0.330331,0.6422
Healthcare,35-44,Maradana,155953,Event Promotion,Outdoor Static Structure,City Center Billboard,Digital,Colombo,115406,35-44,48706,0.0199,1.09,0.0624,22,40547,1.0,0.9892,0.5402,0.42204,0.673
Technology,55+,Gampaha Town,66712,App Downloads,Vehicle Wrap Media,Car Wrap,Outdoor,Gampaha,181519,55+,56040,0.0214,0.61,0.0412,36,-114807,0.8062,0.626,0.9306,0.308728,0.5785
E-commerce,35-44,Minuwangoda,74244,Website Traffic,Newsletter Ad,Weekly Newsletter,Print,Gampaha,28119,35-44,28771,0.0412,0.74,0.0656,24,46125,0.9865,0.7372,0.7735,1.023187,0.646
Education,55+,Wattala,38873,Event Promotion,Native / Sponsored Content,Review Sponsorship,Digital,Gampaha,37418,55+,128420,0.0202,0.41,0.0315,44,1455,0.8271,0.6725,0.6819,3.432038,0.4775
Automotive,35-44,Negombo,37081,Event Promotion,Newsletter Ad,Promotional Email,Digital,Gampaha,21076,35-44,40553,0.0503,1.09,0.0579,17,16005,1.0,0.6218,0.6673,1.924132,0.7076
Real Estate,25-34,Wattala,342458,Brand Awareness,Social Media Placement,Facebook Feed,Digital,Gampaha,28161,25-34,324012,0.0382,0.81,0.0665,13,314297,0.9849,0.8466,0.6076,11.505699,0.8568
Luxury Goods,25-34,Mahabage,162077,Event Promotion,Newsletter Ad,Promotional Email,Digital,Gampaha,14514,25-34,57227,0.0385,1.02,0.0542,25,147563,1.0,0.7359,0.617,3.942883,0.7632
Automotive,25-34,Aluthgama,62440,Customer Retention,Retail & Premises Signage,Counter Display,Outdoor,Kalutara,67254,25-34,4377,0.0294,1.21,0.0597,16,-4814,0.9655,0.6043,0.7461,0.065082,0.6712
Real Estate,55+,Kalutara Town,182604,Event Promotion,Digital Out-of-Home Screen,Airport Digital Display,Digital,Kalutara,315637,55+,28600,0.0263,0.8,0.0304,19,-133033,0.8657,0.5489,0.9415,0.09061,0.635
Entertainment,Affluent,Katunayake,721738,Product Launch,Event Sponsorship,Presenting Sponsor,Event,Gampaha,123803,Affluent,15082,0.0388,1.62,0.0787,16,597935,1.0,0.6746,0.5054,0.121823,0.7505
Technology,25-34,Bandaragama,141498,App Downloads,Outdoor Static Structure,Street Pole Banner,Digital,Kalutara,164712,25-34,21862,0.0253,0.84,0.0648,31,-23214,0.8352,0.4591,0.9138,0.132729,0.5451
Retail,35-44,Panadura,132339,App Downloads,Vehicle Wrap Media,Truck Wrap,Visual,Kalutara,257180,35-44,26429,0.0209,0.83,0.0745,58,-124841,0.9941,0.39,0.6941,0.102765,0.4732
Fashion,25-34,Bambalapitiya,305906,Lead Generation,Radio Spot,Evening Drive,Audio,Colombo,115995,25-34,323565,0.0221,0.96,0.0509,26,189911,0.7974,0.9565,0.5932,2.789474,0.6589
Hospitality,35-44,Mount Lavinia,287824,Lead Generation,Print Publication Ad,Newspaper Half Page,Digital,Colombo,30853,35-44,339772,0.0106,0.91,0.0629,10,256971,1.0,0.7164,0.9379,11.012608,0.5143
Luxury Goods,25-34,Wellawatte,62975,Sales Conversion,Retail & Premises Signage,End Cap Display,Outdoor,Colombo,78025,25-34,33079,0.0409,1.02,0.0733,31,-15050,0.8076,0.7376,0.6516,0.423954,0.6795
FMCG,25-34,Maradana,270063,Lead Generation,Newsletter Ad,Weekly Newsletter,Digital,Colombo,15171,25-34,84862,0.0265,0.99,0.0621,12,254892,1.0,0.9125,0.5774,5.593699,0.7361
Luxury Goods,Families,Minuwangoda,113874,App Downloads,Cinema Advertising,Intermission Ad,Cinema,Gampaha,61884,Families,9710,0.0238,0.69,0.0603,13,51990,0.9551,0.7349,0.6959,0.156906,0.4978
Hospitality,All Ages,Dehiwala,79417,Lead Generation,Newsletter Ad,Promotional Email,Digital,Colombo,5921,All Ages,93499,0.0395,0.95,0.0534,29,73496,1.0,0.7155,0.7272,15.791083,0.7194
Telecommunications,25-34,Ingiriya,288116,Sales Conversion,Radio Spot,Midday Slot,Audio,Kalutara,102226,25-34,83137,0.0312,1.28,0.0651,9,185890,0.8817,0.6403,0.9419,0.813267,0.6303
Healthcare,35-44,Wellawatte,97856,Sales Conversion,Digital Out-of-Home Screen,Digital Billboard,Outdoor,Colombo,132419,35-44,129102,0.0332,0.86,0.0586,31,-34563,0.8383,0.717,0.6683,0.974951,0.6967
Financial Services,All Ages,Wattala,58590,App Downloads,Cinema Advertising,Concession Ad,Cinema,Gampaha,149180,All Ages,74433,0.0189,0.61,0.0508,29,-90590,1.0,0.7038,0.592,0.498948,0.4965
Luxury Goods,55+,Wattala,154051,Lead Generation,Web Display Inventory,Sidebar Ad,Digital,Gampaha,20186,55+,181209,0.0171,0.65,0.0357,14,133865,1.0,0.7463,0.668,8.976964,0.7217
Luxury Goods,25-34,Kadawatha,112581,Customer Retention,Web Display Inventory,Banner Ad,Digital,Gampaha,76469,25-34,80475,0.032,1.13,0.0812,33,36112,0.8957,0.704,0.6139,1.052387,0.6935
Luxury Goods,18-24,Battaramulla,245401,Customer Retention,Vehicle Wrap Media,Truck Wrap,Visual,Colombo,168125,18-24,66105,0.0257,0.49,0.0366,34,77276,1.0,0.9103,0.5918,0.39319,0.7079
Luxury Goods,25-34,Bulathsinhala,32336,Event Promotion,Native / Sponsored Content,Sponsored Video,Digital,Kalutara,18431,25-34,26442,0.0262,1.35,0.0806,26,13905,0.8667,0.4533,0.7221,1.434648,0.6896
Telecommunications,35-44,Divulapitiya,38215,Website Traffic,Vehicle Wrap Media,Bus Wrap,Outdoor,Gampaha,43680,35-44,58502,0.0386,1.3,0.0565,31,-5465,0.9498,0.6873,0.565,1.339332,0.753
Education,18-24,Beruwala,83270,Website Traffic,TV Spot,Daytime,Audio,Kalutara,206970,18-24,45172,0.0103,0.37,0.0314,36,-123700,0.8846,0.6696,0.5503,0.218254,0.6
Travel & Tourism,18-24,Aluthgama,149621,App Downloads,Cinema Advertising,Intermission Ad,Cinema,Kalutara,45982,18-24,44741,0.022,0.58,0.0246,6,103639,0.9111,0.3864,0.8642,0.973011,0.6336
Technology,35-44,Maradana,77085,App Downloads,TV Spot,Daytime,Audio,Colombo,85207,35-44,580828,0.0332,1.1,0.0626,5,-8122,0.8445,0.704,0.6332,6.81667,0.4316
Financial Services,18-24,Battaramulla,249170,Product Launch,Radio Spot,Weekend Slot,Audio,Colombo,53803,18-24,496019,0.0172,0.36,0.0253,17,195367,1.0,0.7355,0.5954,9.21917,0.7781
Fashion,45-54,Colombo Fort,103956,Website Traffic,Retail & Premises Signage,Window Display,Visual,Colombo,120818,45-54,40110,0.0243,0.59,0.05,25,-16862,1.0,0.8598,0.5519,0.331987,0.5381
Healthcare,25-34,Colombo Fort,321310,Lead Generation,Vehicle Wrap Media,Three-Wheeler Wrap,Outdoor,Colombo,143466,25-34,102042,0.0434,0.74,0.0681,67,177844,0.9726,0.9645,0.8291,0.711263,0.7015
Education,25-34,Wattala,54412,Website Traffic,Radio Spot,Prime Time Slot,Audio,Gampaha,69592,25-34,297361,0.023,1.21,0.0641,11,-15180,0.8543,0.8156,0.5916,4.272919,0.6801
Retail,45-54,Wattala,420287,Product Launch,Cinema Advertising,Tickets Ad,Cinema,Gampaha,79748,45-54,75807,0.0112,0.74,0.0546,13,340539,0.9313,0.6625,0.8252,0.950582,0.6132
Telecommunications,Young Professionals,Bulathsinhala,257841,Sales Conversion,Native / Sponsored Content,Featured Content,Digital,Kalutara,22375,Young Professionals,53421,0.0516,0.97,0.0726,39,235466,0.991,0.3561,0.802,2.387531,0.828
Travel & Tourism,All Ages,Horana,324762,Lead Generation,Digital Out-of-Home Screen,Digital Billboard,Outdoor,Kalutara,152412,All Ages,47812,0.036,0.64,0.0587,31,172350,0.9195,0.5354,0.5834,0.313702,0.7501
Fashion,25-34,Colombo Fort,214441,Lead Generation,Web Display Inventory,Sidebar Ad,Digital,Colombo,49660,25-34,257906,0.0235,1.09,0.0642,49,164781,0.9532,0.9245,0.6013,5.193435,0.807
Education,All Ages,Ja-Ela,257041,Lead Generation,Print Publication Ad,Classified,Print,Gampaha,33095,All Ages,98251,0.017,0.67,0.0552,16,223946,0.83,0.6453,0.8998,2.968757,0.6346
E-commerce,Young Professionals,Kollupitiya,68763,Website Traffic,Social Media Placement,LinkedIn Feed,Digital,Colombo,44793,Young Professionals,206618,0.0415,0.91,0.0536,11,23970,0.9112,0.9574,0.9489,4.61273,0.6738
Entertainment,55+,Kandana,112555,Customer Retention,Outdoor Static Structure,Transit Shelter,Outdoor,Gampaha,40355,55+,5483,0.0147,0.58,0.0429,24,72200,0.6749,0.6367,0.5312,0.135869,0.3915
Technology,25-34,Dehiwala,383538,Product Launch,Native / Sponsored Content,Featured Content,Digital,Colombo,83011,25-34,167451,0.0303,1.49,0.06,33,300527,0.8982,0.8384,0.923,2.017215,0.8333
E-commerce,25-34,Gampaha Town,143003,Website Traffic,Social Media Placement,Twitter/X Feed,Digital,Gampaha,19640,25-34,242189,0.0476,0.87,0.0685,19,123363,0.9093,0.6585,0.9269,12.331415,0.7026
Entertainment,35-44,Mount Lavinia,163394,Sales Conversion,Outdoor Static Structure,City Center Billboard,Digital,Colombo,165592,35-44,58866,0.0355,0.74,0.0622,18,-2198,1.0,0.8779,0.6597,0.355488,0.6089
Telecommunications,45-54,Kollupitiya,169355,Customer Retention,Web Display Inventory,Video Ad,Digital,Colombo,23234,45-54,389478,0.0265,0.94,0.0453,60,146121,1.0,0.7187,0.6509,16.763278,0.6792
Technology,45-54,Kadawatha,111210,Customer Retention,Outdoor Static Structure,Building Wrap,Outdoor,Gampaha,43723,45-54,24804,0.0155,0.82,0.0463,6,67487,0.9037,0.7794,0.6468,0.567299,0.5484
Travel & Tourism,25-34,Mount Lavinia,147044,Website Traffic,Digital Out-of-Home Screen,Train Station Screen,Outdoor,Colombo,76575,25-34,69424,0.0417,1.1,0.0567,19,70469,0.9236,0.8517,0.5648,0.906614,0.6111
Retail,35-44,Divulapitiya,283833,Brand Awareness,Native / Sponsored Content,Partner Post,Digital,Gampaha,79658,35-44,38710,0.0278,0.51,0.0657,33,204175,1.0,0.5157,0.5569,0.485952,0.7412
E-commerce,35-44,Wellawatte,594984,Product Launch,Cinema Advertising,Intermission Ad,Cinema,Colombo,201808,35-44,57835,0.0208,0.9,0.0695,16,393176,0.9257,0.9854,0.579,0.286584,0.6642
Telecommunications,Affluent,Katunayake,104444,App Downloads,Web Display Inventory,Banner Ad,Digital,Gampaha,31226,Affluent,174930,0.0324,0.95,0.0638,16,73218,0.857,0.6,0.9172,5.602062,0.692
Entertainment,Young Professionals,Nugegoda,124653,Event Promotion,Digital Out-of-Home Screen,Airport Digital Display,Digital,Colombo,122040,Young Professionals,179899,0.0393,0.8,0.0539,19,2613,0.9035,0.9251,0.5684,1.474099,0.7497
Real Estate,Families,Kollupitiya,335838,Lead Generation,Print Publication Ad,Classified,Print,Colombo,20442,Families,93045,0.0144,0.91,0.0681,2,315396,0.95,0.8791,0.9498,4.551658,0.6988
Telecommunications,45-54,Kandana,177271,Product Launch,Social Media Placement,TikTok Feed,Digital,Gampaha,81298,45-54,327587,0.0297,0.42,0.0794,64,95973,0.7947,0.5174,0.8261,4.02946,0.5856
Telecommunications,All Ages,Dehiwala,94557,Event Promotion,Outdoor Static Structure,Highway Billboard,Digital,Colombo,170543,All Ages,39938,0.0182,1.17,0.0551,37,-75986,0.9834,0.7057,0.8721,0.234181,0.7711
Food & Beverage,Families,Colombo Fort,258663,Lead Generation,Retail & Premises Signage,Window Display,Visual,Colombo,130654,Families,14195,0.0294,1.0,0.0427,36,128009,0.9748,0.8367,0.8052,0.108646,0.79
Food & Beverage,25-34,Kollupitiya,151485,Lead Generation,Newsletter Ad,Promotional Email,Print,Colombo,13115,25-34,50641,0.036,0.91,0.0712,5,138370,0.9298,0.9904,0.701,3.861304,0.6057
Luxury Goods,Families,Gampaha Town,99346,Website Traffic,Print Publication Ad,Magazine Spread,Print,Gampaha,14876,Families,94501,0.0144,0.87,0.0672,43,84470,0.9616,0.7651,0.6328,6.352581,0.7214
Telecommunications,35-44,Colombo Fort,135526,Sales Conversion,Retail & Premises Signage,Storefront Display,Visual,Colombo,152073,35-44,10363,0.0203,1.07,0.0629,13,-16547,1.0,0.8751,0.6756,0.068145,0.6278
Fashion,55+,Horana,191651,Sales Conversion,Digital Out-of-Home Screen,Train Station Screen,Outdoor,Kalutara,131323,55+,36271,0.0285,0.59,0.0357,28,60328,0.8822,0.6134,0.8149,0.276197,0.6234
Fashion,45-54,Wattala,67603,App Downloads,Web Display Inventory,Pop-up,Digital,Gampaha,35497,45-54,65515,0.0259,0.91,0.0387,33,32106,0.9721,0.7411,0.904,1.845649,0.6833
Technology,35-44,Wellawatte,200813,Product Launch,Event Sponsorship,Title Sponsor,Event,Colombo,293448,35-44,13484,0.046,1.24,0.0503,21,-92635,0.8967,0.8262,0.7708,0.04595,0.6943
Education,Affluent,Colombo Fort,214102,Sales Conversion,Event Sponsorship,Presenting Sponsor,Event,Colombo,395120,Affluent,16076,0.0533,1.22,0.0863,9,-181018,1.0,0.7694,0.8066,0.040686,0.6515
Luxury Goods,55+,Nugegoda,100239,Event Promotion,Event Sponsorship,Presenting Sponsor,Event,Colombo,73065,55+,23242,0.0259,0.5,0.0379,40,27174,0.6986,0.8507,0.8292,0.3181,0.6359
Financial Services,35-44,Bulathsinhala,85753,Website Traffic,Cinema Advertising,Concession Ad,Cinema,Kalutara,90438,35-44,6659,0.0194,1.39,0.0556,27,-4685,1.0,0.3032,0.9244,0.073631,0.616
Real Estate,35-44,Beruwala,216376,Lead Generation,TV Spot,Daytime,Audio,Kalutara,125064,35-44,322531,0.0344,1.3,0.062,25,91312,0.8778,0.6429,0.8692,2.578928,0.6652
Financial Services,All Ages,Maradana,163600,Sales Conversion,Print Publication Ad,Newspaper Full Page,Digital,Colombo,79053,All Ages,79693,0.0183,0.91,0.0403,6,84547,1.0,0.7481,0.5769,1.008096,0.7708
Telecommunications,18-24,Kandana,168794,App Downloads,Event Sponsorship,Title Sponsor,Event,Gampaha,279433,18-24,7031,0.0296,0.41,0.0323,6,-110639,0.7091,0.51,0.7625,0.025162,0.6016
Luxury Goods,35-44,Bambalapitiya,236796,Lead Generation,Outdoor Static Structure,Building Wrap,Outdoor,Colombo,41104,35-44,51804,0.0189,1.14,0.055,18,195692,0.9191,0.7665,0.6429,1.260315,0.6454
FMCG,25-34,Pettah,78845,Event Promotion,Outdoor Static Structure,Building Wrap,Digital,Colombo,144568,25-34,112655,0.0279,1.42,0.0739,28,-65723,0.8349,0.7889,0.9099,0.779253,0.6172
E-commerce,25-34,Wellawatte,75113,Customer Retention,Newsletter Ad,Weekly Newsletter,Digital,Colombo,8103,25-34,34946,0.0397,1.15,0.0522,40,67010,0.961,0.769,0.6851,4.312724,0.7761
E-commerce,55+,Gampaha Town,87456,Lead Generation,Social Media Placement,Facebook Feed,Digital,Gampaha,18195,55+,46827,0.022,0.94,0.0223,21,69261,0.8133,0.6563,0.7784,2.573619,0.7552
Real Estate,18-24,Bambalapitiya,151669,Brand Awareness,Native / Sponsored Content,Sponsored Video,Digital,Colombo,18531,18-24,201150,0.0242,0.43,0.0381,12,133138,0.9451,0.7973,0.8044,10.854784,0.815
Hospitality,18-24,Pettah,78679,Customer Retention,Radio Spot,Weekend Slot,Audio,Colombo,95921,18-24,189719,0.0204,0.51,0.0386,30,-17242,0.8714,0.9787,0.6494,1.977867,0.4359
E-commerce,45-54,Colombo Fort,33342,Website Traffic,Print Publication Ad,Newspaper Full Page,Digital,Colombo,71552,45-54,256301,0.0183,1.16,0.0468,26,-38210,0.9822,0.7074,0.6632,3.582024,0.7171
Education,Students,Mathugama,132191,Website Traffic,Digital Out-of-Home Screen,Mall Digital Screen,Digital,Kalutara,198075,Students,65524,0.0322,0.52,0.0307,64,-65884,0.8619,0.5647,0.7852,0.330804,0.5128
Travel & Tourism,35-44,Colombo Fort,129052,App Downloads,Web Display Inventory,Video Ad,Digital,Colombo,70574,35-44,98476,0.0311,0.87,0.0738,29,58478,1.0,0.7763,0.5058,1.395358,0.7479
Travel & Tourism,35-44,Panadura,212451,Customer Retention,Cinema Advertising,Lobby Display,Cinema,Kalutara,153894,35-44,21592,0.0205,0.88,0.0581,11,58557,0.9468,0.5127,0.8931,0.140304,0.6817
Technology,35-44,Beruwala,333446,Product Launch,Cinema Advertising,Lobby Display,Cinema,Kalutara,144567,35-44,32119,0.0202,0.77,0.0619,47,188879,1.0,0.6491,0.725,0.222174,0.7341
Hospitality,Young Professionals,Dehiwala,138736,App Downloads,Digital Out-of-Home Screen,Train Station Screen,Outdoor,Colombo,122425,Young Professionals,101310,0.0291,0.65,0.0618,28,16311,0.9518,0.9926,0.7134,0.827527,0.7182
Entertainment,25-34,Wellawatte,154642,Customer Retention,Outdoor Static Structure,Transit Shelter,Digital,Colombo,99887,25-34,115788,0.0166,1.27,0.0684,53,54755,0.7658,0.8399,0.5855,1.15919,0.6569
Real Estate,All Ages,Wellawatte,36825,Website Traffic,Vehicle Wrap Media,Truck Wrap,Outdoor,Colombo,76626,All Ages,123689,0.0338,0.56,0.0514,28,-39801,1.0,0.7954,0.7609,1.614191,0.6696
Retail,18-24,Negombo,58228,Event Promotion,Vehicle Wrap Media,Bus Wrap,Visual,Gampaha,54013,18-24,91450,0.0291,0.75,0.0307,7,4215,0.7806,0.7557,0.5609,1.693111,0.5305
Hospitality,35-44,Battaramulla,150729,Brand Awareness,Retail & Premises Signage,End Cap Display,Visual,Colombo,33076,35-44,35933,0.022,1.01,0.0662,8,117653,0.9171,0.7886,0.7385,1.086377,0.6473
Fashion,25-34,Mount Lavinia,236081,Product Launch,Native / Sponsored Content,Article Sponsorship,Digital,Colombo,57114,25-34,133345,0.0442,0.96,0.051,11,178967,0.7989,0.7586,0.8053,2.334717,0.6338
FMCG,55+,Negombo,237187,Customer Retention,Web Display Inventory,Pop-up,Digital,Gampaha,15476,55+,230089,0.0121,0.78,0.0469,11,221711,0.8203,0.5408,0.5572,14.867472,0.5717
Technology,25-34,Ja-Ela,434149,Brand Awareness,Digital Out-of-Home Screen,Mall Digital Screen,Digital,Gampaha,120337,25-34,22984,0.0274,0.6,0.0413,6,313812,0.8612,0.5576,0.6868,0.190997,0.6222
Healthcare,45-54,Mahabage,130468,Website Traffic,Outdoor Static Structure,Street Pole Banner,Outdoor,Gampaha,47120,45-54,23638,0.0166,0.77,0.0469,4,83348,0.9786,0.6692,0.6723,0.501655,0.4413
Food & Beverage,45-54,Kandana,165485,Product Launch,Social Media Placement,LinkedIn Feed,Digital,Gampaha,96986,45-54,51237,0.0274,0.59,0.0513,29,68499,1.0,0.527,0.5764,0.528293,0.4795
Entertainment,35-44,Kadawatha,157022,Brand Awareness,Vehicle Wrap Media,Car Wrap,Visual,Gampaha,159847,35-44,23936,0.032,0.92,0.0562,49,-2825,0.9148,0.846,0.5186,0.149743,0.6276
Automotive,All Ages,Battaramulla,60435,Event Promotion,Cinema Advertising,Concession Ad,Cinema,Colombo,140215,All Ages,109271,0.017,0.6,0.0651,29,-79780,1.0,0.9062,0.9327,0.77931,0.6511
Financial Services,35-44,Dodangoda,125898,Website Traffic,Native / Sponsored Content,Featured Content,Digital,Kalutara,59731,35-44,68256,0.0415,0.9,0.0394,57,66167,1.0,0.3237,0.7848,1.142723,0.8238
Fashion,Young Professionals,Kollupitiya,191883,App Downloads,TV Spot,Sports Program,Audio,Colombo,77903,Young Professionals,379997,0.0254,1.11,0.0683,29,113980,0.902,0.7731,0.7952,4.877822,0.6563
Technology,45-54,Wellawatte,164834,App Downloads,Retail & Premises Signage,Window Display,Outdoor,Colombo,45068,45-54,32519,0.0167,0.64,0.0472,25,119766,1.0,0.7183,0.8123,0.721554,0.6605
Entertainment,18-24,Battaramulla,197031,Brand Awareness,Digital Out-of-Home Screen,Mall Digital Screen,Digital,Colombo,281964,18-24,46481,0.0207,0.73,0.0395,30,-84933,0.9052,0.7589,0.5102,0.164847,0.5589
Financial Services,25-34,Divulapitiya,202911,Sales Conversion,Event Sponsorship,Presenting Sponsor,Event,Gampaha,336205,25-34,7487,0.04,0.76,0.0588,20,-133294,0.7444,0.7154,0.5367,0.022269,0.6772
Hospitality,35-44,Divulapitiya,152903,Lead Generation,Outdoor Static Structure,City Center Billboard,Digital,Gampaha,161801,35-44,26926,0.0206,0.8,0.0507,30,-8898,0.9991,0.7319,0.8635,0.166414,0.6696
Automotive,35-44,Maradana,106618,Website Traffic,Outdoor Static Structure,Street Pole Banner,Digital,Colombo,71436,35-44,12856,0.0203,1.22,0.0477,6,35182,1.0,0.9795,0.7792,0.179965,0.7419
Telecommunications,All Ages,Bulathsinhala,290020,Lead Generation,Social Media Placement,TikTok Feed,Digital,Kalutara,26228,All Ages,59447,0.0291,0.9,0.0494,25,263792,1.0,0.3589,0.593,2.266547,0.713
Telecommunications,All Ages,Divulapitiya,127449,Website Traffic,Vehicle Wrap Media,Van Wrap,Outdoor,Gampaha,49459,All Ages,56304,0.0324,0.76,0.0432,41,77990,0.9733,0.7843,0.5371,1.138397,0.6946
FMCG,Young Professionals,Panadura,665218,Product Launch,Web Display Inventory,Pop-up,Digital,Kalutara,27280,Young Professionals,26711,0.0382,1.04,0.0497,14,637938,0.8326,0.3709,0.5023,0.979142,0.5317
Hospitality,Young Professionals,Bulathsinhala,67550,Website Traffic,Radio Spot,Evening Drive,Audio,Kalutara,102123,Young Professionals,137820,0.0272,1.2,0.0541,26,-34573,0.8438,0.3778,0.8692,1.349549,0.5947
Hospitality,45-54,Dehiwala,456668,Product Launch,Native / Sponsored Content,Article Sponsorship,Digital,Colombo,97064,45-54,133087,0.0357,0.93,0.0534,8,359604,0.9076,0.8836,0.6378,1.371126,0.6685
FMCG,Young Professionals,Battaramulla,207407,Sales Conversion,Vehicle Wrap Media,Three-Wheeler Wrap,Visual,Colombo,170103,Young Professionals,75889,0.0423,0.56,0.0604,12,37304,0.5778,0.964,0.7275,0.446136,0.6909
Healthcare,45-54,Ja-Ela,223834,Customer Retention,Newsletter Ad,Special Edition,Digital,Gampaha,21759,45-54,59723,0.0402,1.28,0.0425,32,202075,0.8672,0.6795,0.6444,2.744749,0.7616
Healthcare,18-24,Mount Lavinia,135399,Lead Generation,Vehicle Wrap Media,Bus Wrap,Outdoor,Colombo,83991,18-24,45650,0.0266,0.55,0.0387,41,51408,0.9762,0.7923,0.609,0.543511,0.5619
Technology,Families,Kadawatha,399751,Brand Awareness,Outdoor Static Structure,Transit Shelter,Digital,Gampaha,68988,Families,29007,0.0182,0.81,0.0707,30,330763,0.9978,0.6691,0.9441,0.420464,0.6565
Travel & Tourism,Young Professionals,Ingiriya,470796,Product Launch,Newsletter Ad,Weekly Newsletter,Digital,Kalutara,17485,Young Professionals,37664,0.0624,0.71,0.0555,6,453311,0.8735,0.4165,0.6878,2.154075,0.5719
Food & Beverage,Young Professionals,Panadura,314816,Brand Awareness,Vehicle Wrap Media,Car Wrap,Visual,Kalutara,75568,Young Professionals,14825,0.0299,0.94,0.0565,35,239248,0.9803,0.3311,0.93,0.196181,0.7394
Luxury Goods,Families,Colombo Fort,160805,Event Promotion,Digital Out-of-Home Screen,Street Level Digital,Digital,Colombo,243367,Families,229339,0.0305,0.76,0.0477,12,-82562,0.8783,0.9074,0.5754,0.942359,0.6022
